Entity_LogicalId,Entity_EU_ReferenceNumber,Entity_SubjectType,Entity_SubjectType_ClassificationCode,Citizenship_CountryIso2Code,Citizenship_Remark
6696,EU.3929.51,P,person,IR,
6859,EU.3464.17,P,person,KP,
6864,EU.3736.33,P,person,UG,
6865,EU.3643.77,P,person,CD,
6908,EU.2568.35,P,person,DE,
6908,EU.2568.35,P,person,MA,
6909,EU.2569.0,P,person,DE,
6909,EU.2569.0,P,person,MA,
6942,EU.2851.77,P,person,AF,
6944,EU.2875.36,P,person,ID,
6945,EU.2876.1,P,person,ID,
6947,EU.3007.46,P,person,PK,
6949,EU.2867.62,P,person,PK,
7024,EU.3763.44,P,person,AF,
7027,EU.3611.47,P,person,AF,
7029,EU.3601.46,P,person,GW,
7030,EU.3602.11,P,person,GW,
7032,EU.3742.77,P,person,GW,
7033,EU.3743.42,P,person,GW,
7034,EU.3744.7,P,person,GW,
7046,EU.3747.96,P,person,GW,
7064,EU.3612.12,P,person,AF,
7167,EU.3057.51,P,person,UZ,
7167,EU.3057.51,P,person,AF,
7168,EU.3073.96,P,person,PK,
7172,EU.3702.73,P,person,AF,
7175,EU.3708.57,P,person,CD,
7178,EU.3705.65,P,person,AF,
7200,EU.3606.65,P,person,CD,
7204,EU.3029.75,P,person,DZ,
7207,EU.3427.5,P,person,KP,
7218,EU.3004.54,P,person,ML,
7219,EU.3005.19,P,person,ML,
7220,EU.3006.81,P,person,MR,
7220,EU.3006.81,P,person,ML,
7225,EU.3031.65,P,person,IR,
7228,EU.3911.39,P,person,IR,
7235,EU.4116.48,P,person,KP,
7237,EU.3707.92,P,person,PK,
7246,EU.3305.11,P,person,SY,
7250,EU.2982.10,P,person,EG,
7251,EU.2984.37,P,person,ML,
7262,EU.3060.6,P,person,LY,
7320,EU.3527.67,P,person,RU,
7355,EU.3891.82,P,person,CF,
7355,EU.3891.82,P,person,SS,
7356,EU.3890.20,P,person,CF,
7356,EU.3890.20,P,person,SD,
7370,EU.3015.20,P,person,NG,
7444,EU.2813.3,P,person,IQ,
7445,EU.2725.66,P,person,DZ,
